Experiment		Ratio(HM)	ExpErr	ExpCorr	L(m)
Bugey-4			0.932		1.4	1.4	15
Rovno91			0.930		2.8	1.4	18
Rovno88-1I		0.907		6.4	3.8	18
Rovno88-2I		0.938		6.4	3.8	18
Rovno88-1S		0.962		7.3	3.8	18
Rovno88-2S		0.949		7.3	3.8	25
Rovno88-2S		0.928		6.8	3.8	18
Bugey-3-15		0.936		4.2	4.0	15
Bugey-3-40		0.942		4.3	4.0	40
Bugey-3-95		0.867		15.2	4.0	95
Gosgen-38		0.955		5.4	4.3	37.9
Gosgen-46		0.981		5.4	4.3	45.9
Gosgen-65		0.915		6.7	4.3	64.7
ILL			0.792		9.1	3.8	8.76
Krasnoyarsk87-33	0.925		5.0	4.1	32.8
Krasnoyarsk87-92	0.942		20.4	4.1	92.3
Krasnoyarsk94-57	0.936		4.2	0	57
Krasnoyarsk99-34	0.946		3.0	0	34
SRP-18			0.941		2.8	0	18.2
SRP-24			1.006		2.9	0	23.8
Nucifer			1.014		10.7	0	7.2
Chooz			0.996		3.2	0	1000
PaloVerde		0.997		5.4	0	800
DayaBay			0.946		2.0	0	550
RENO 			0.946		2.1	0	410
DoubleChooz		0.935		1.4	0	415	
