"Y(X), created by Plot Digitizer, 2.6.6"
"Date: 6/30/17, 10:38:20 AM"


45
X,Y
0.953891,0.0104290,
0.455317,0.0162109,
0.244558,0.0216388,
0.140995,0.0296527,
0.0830108,0.0414969,
0.0655585,0.0485770,
0.0542780,0.0574655,
0.0444697,0.0701562,
0.0408900,0.0912202,
0.0388006,0.110202,
0.0400411,0.134539,
0.0400411,0.152609,
0.0368179,0.173106,
0.0353050,0.204780,
0.0375985,0.258006,
0.0366253,0.295749,
0.0338542,0.357291,
0.0383957,0.459712,
0.0287738,0.543828,
0.0191127,0.591493,
0.0213382,0.656992,
0.0476076,0.819108,
0.0615593,0.919416,
0.0343911,1.09913,
0.0224872,1.18298,
0.0213382,1.28666,
0.0336771,1.41421,
0.0593401,1.57081,
0.0852165,1.62109,
0.101853,1.72652,
0.0941465,1.85823,
0.0763287,1.93795,
0.0698174,1.97909,
0.0662498,2.15255,
0.107338,2.62792,
0.128967,2.82839,
0.140995,2.98088,
0.111352,3.48947,
0.154955,4.17154,
0.143984,4.48976,
0.148587,4.98693,
0.139523,6.48423,
0.150154,8.08425,
0.144741,9.36470,
0.155770,10.0791,
