{\rtf1\ansi\ansicpg1252\cocoartf1504\cocoasubrtf830
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww17980\viewh12300\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 0.8054936,0.0010787887\
0.76278466,0.001519111\
0.73239386,0.0016705898\
0.6101938,0.0018368864\
0.40950564,0.0021514166\
0.2804451,0.0025520138\
0.18693258,0.003104859\
0.11724931,0.0038012373\
0.07710374,0.004654046\
0.061267633,0.005383281\
0.047066882,0.0062265466\
0.03947773,0.007111854\
0.035668068,0.007920283\
0.03288721,0.008545583\
0.0307335,0.00976178\
0.030113244,0.01073542\
0.023293128,0.011290749\
0.018763656,0.011577975\
0.01356611,0.0119465925\
0.024918126,0.0124970665\
0.03711985,0.013236665\
0.04798342,0.013666836\
0.06818091,0.013934647\
0.08406358,0.01438675\
0.09429315,0.014664848\
0.08236507,0.016125482\
0.05491406,0.016220793\
0.024741506,0.016622795\
0.009871102,0.01660598\
0.008005203,0.017576978\
0.0062766564,0.017909678\
0.004416983,0.01859686\
0.001937084,0.018462567\
0.0045377663,0.019318458\
0.006361341,0.019572245\
0.008563126,0.020467088\
0.010557898,0.021131134\
0.01129427,0.023687257\
0.0130140465,0.02672364\
0.013099155,0.032322004\
0.010987894,0.0346498\
0.008272773,0.03621081\
0.0058218664,0.03665868\
0.0040422077,0.03618226\
0.0026409472,0.0361653\
0.0019224237,0.036152653\
0.0017847994,0.035021767\
0.0016571193,0.03245359\
0.0013440185,0.03163365\
0.0011982862,0.02949904\
0.0010829332,0.026650563\
0.0010541752,0.024386365\
0.001054242,0.02318038\
0.0011280932,0.020682031\
9.72318E-4,0.02003344\
7.832394E-4,0.020673722\
6.525868E-4,0.021883221\
4.3505515E-4,0.023453293\
3.8259698E-4,0.025789455\
3.387344E-4,0.02908687\
4.5905367E-4,0.03119815\
5.6597625E-4,0.03282884\
6.179314E-4,0.033040825\
8.899451E-4,0.03477378\
0.0011818748,0.036827095\
0.0013710601,0.041812375\
0.0011421717,0.05024163\
0.0011654849,0.052856684\
0.0013892279,0.05526589\
0.0014862625,0.05741288\
0.00164463,0.06195803\
0.001537061,0.066008285\
0.0012050997,0.0703097\
8.595852E-4,0.07300852\
6.049278E-4,0.07344442\
4.3734157E-4,0.07872092\
2.78102E-4,0.081732266\
1.828958E-4,0.093921736\
3.3586434E-4,0.11807998\
5.316704E-4,0.1299259\
5.92334E-4,0.13583781\
5.4984656E-4,0.14843336\
3.4726938E-4,0.16110346\
2.4604742E-4,0.16104233\
2.0780132E-4,0.16514769\
2.0224454E-4,0.17595139\
2.3306246E-4,0.1839644\
3.5912433E-4,0.19118795\
5.571237E-4,0.1986966\
7.7569217E-4,0.21448088\
0.0010655466,0.2257184\
0.0011871444,0.23301573\
9.6926175E-4,0.24821123\
7.914058E-4,0.25452927\
6.3323E-4,0.25771382\
3.5898195E-4,0.26249814\
5.169855E-4,0.28516343\
7.3953153E-4,0.30588034\
9.43096E-4,0.32598758\
0.0010867183,0.36314097\
9.884732E-4,0.4148104\
0.0010153985,0.4679242\
8.8097836E-4,0.51452607\
8.929424E-4,0.5244134\
0.0012101753,0.5414842\
0.0013482992,0.55194706\
0.0017665082,0.5957533\
0.0019154694,0.6552469\
0.001802179,0.743776\
0.0017777788,0.81796634\
0.0012093503,0.9340516\
0.001168993,1.060281\
0.0012171724,1.196061\
9.869067E-4,1.4740511\
0.001551696,1.6635737\
0.0029679162,1.8077791\
0.003284056,2.000999\
0.0028494652,2.1047742\
0.0024392207,2.1999075\
0.0014399377,2.3425317\
9.996274E-4,2.5915763\
0.001199446,3.0180805\
0.0016366807,2.9810746\
0.0030062662,3.098729\
0.004539494,3.1596622\
0.0061105574,3.367565\
0.0072832224,3.6808355\
0.005866682,3.920813\
0.0040730657,4.0711913\
0.0024373643,4.0431757\
0.004630168,4.6811857\
0.0072806817,4.8651056\
0.0088563645,4.9595914\
0.010993297,5.1858807\
0.009035988,5.7747765\
0.010412805,6.0761647\
0.012244914,6.475007\
0.014111235,6.6003666\
0.016818762,7.3996596\
0.017395673,7.7357264\
0.015822636,9.006072\
0.014688395,9.473847\
0.009465275,11.672818\
0.0093369,13.08365\
0.0102614015,15.043437\
0.014579195,16.655901\
0.0218639,18.677628\
0.02419225,21.070904\
0.019750241,24.219164\
0.019351495,26.804176\
0.029413464,31.823088\
0.03411687,40.498543\
0.033200342,47.75432\
0.033648282,52.18738\
0.042047016,58.140465\
0.075156264,72.17206\
0.034544837,93.51545\
}
