# PROSPECT-2k projected IBD signal to cosmic background (after cuts including fiducialization)
# bins in MeV; rates in mHz/MeV
# bin lo  bin hi     BG	dBG	signal	dSignal
0.0   0.2 12.412     0.617	0.001	0.000
0.2   0.4 2.667	     0.286	0.011	0.001
0.4   0.6 0.981	     0.173	0.045	0.001
0.6   0.8 0.337	     0.102	0.127	0.002
0.8   1.0 0.706	     0.147	0.380	0.004
1.0   1.2 0.551	     0.130	0.699	0.006
1.2   1.4 0.675	     0.144	1.024	0.007
1.4   1.6 0.308	     0.097	1.335	0.008
1.6   1.8 0.581	     0.133	1.616	0.009
1.8   2.0 0.705	     0.147	1.864	0.009
2.0   2.2 0.979	     0.173	2.059	0.010
2.2   2.4 0.491	     0.123	2.214	0.010
2.4   2.6 0.338	     0.102	2.290	0.010
2.6   2.8 0.185	     0.075	2.328	0.010
2.8   3.0 0.275	     0.092	2.294	0.010
3.0   3.2 0.430	     0.115	2.217	0.010
3.2   3.4 0.277	     0.092	2.101	0.010
3.4   3.6 0.335	     0.101	1.976	0.010
3.6   3.8 0.246	     0.087	1.829	0.009
3.8   4.0 0.215	     0.081	1.695	0.009
4.0   4.2 0.461	     0.119	1.561	0.008
4.2   4.4 0.676	     0.144	1.421	0.008
4.4   4.6 0.735	     0.150	1.257	0.008
4.6   4.8 0.582	     0.134	1.097	0.007
4.8   5.0 0.154	     0.069	0.973	0.007
5.0   5.2 0.062	     0.044	0.817	0.006
5.2   5.4 0.031	     0.031	0.680	0.006
5.4   5.6 0.308	     0.097	0.568	0.005
5.6   5.8 0.244	     0.086	0.455	0.005
5.8   6.0 0.245	     0.087	0.351	0.004
6.0   6.2 0.215	     0.081	0.273	0.004
6.2   6.4 0.215	     0.081	0.202	0.003
6.4   6.6 0.307	     0.097	0.157	0.003
6.6   6.8 0.154	     0.069	0.121	0.002
6.8   7.0 0.154	     0.069	0.087	0.002
7.0   7.2 0.368	     0.106	0.058	0.002
7.2   7.4 0.123	     0.062	0.041	0.001
7.4   7.6 0.154	     0.069	0.030	0.001
7.6   7.8 0.215	     0.081	0.026	0.001
7.8   8.0 0.062	     0.044	0.017	0.001
8.0   8.2 0.276	     0.092	0.013	0.001
8.2   8.4 0.154	     0.069	0.011	0.001
8.4   8.6 0.154	     0.069	0.007	0.001
8.6   8.8 0.153	     0.068	0.006	0.001
8.8   9.0 0.092	     0.053	0.004	0.000
9.0   9.2 0.123	     0.062	0.003	0.000
9.2   9.4 0.154	     0.069	0.001	0.000
9.4   9.6 0.123	     0.062	0.000	0.000
9.6   9.8 0.185	     0.075	0.000	0.000
9.8   10.0	     0.092	0.053	0.000	0.000
10.0  10.2	     0.123	0.062	0.000	0.000
10.2  10.4	     0.092	0.053	0.000	0.000
10.4  10.6	     0.153	0.068	0.000	0.000
10.6  10.8	     0.092	0.053	0.000	0.000
10.8  11.0	     0.215	0.081	0.000	0.000
11.0  11.2	     0.092	0.053	0.000	0.000
11.2  11.4	     0.031	0.031	0.000	0.000
11.4  11.6	     0.031	0.031	0.000	0.000
11.6  11.8	     0.092	0.053	0.000	0.000
11.8  12.0	     0.062	0.044	0.000	0.000
