#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2      3.288577204e-44  5.116838038e+16  
   2.001  3.302974128e-44  5.112609246e+16  
   2.002  3.317383605e-44  5.112609246e+16  
   2.003  3.331805703e-44  5.112609246e+16  
   2.004  3.34624049e-44   5.108380454e+16  
   2.005  3.360688031e-44  5.108380454e+16  
   2.006  3.375148392e-44  5.104151662e+16  
   2.007  3.389621639e-44  5.099922871e+16  
   2.008  3.404107834e-44  5.099922871e+16  
   2.009  3.41860704e-44   5.095694079e+16  
   2.01   3.433119318e-44  5.095694079e+16  
   2.011  3.447644731e-44  5.091465287e+16  
   2.012  3.462183338e-44  5.091465287e+16  
   2.013  3.476735198e-44  5.087236495e+16  
   2.014  3.49130037e-44   5.087236495e+16  
   2.015  3.50587891e-44   5.083007704e+16  
   2.016  3.520470877e-44  5.083007704e+16  
   2.017  3.535076326e-44  5.078778912e+16  
   2.018  3.549695312e-44  5.078778912e+16  
   2.019  3.56432789e-44   5.07455012e+16   
   2.02   3.578974113e-44  5.07455012e+16   
   2.021  3.593634035e-44  5.07455012e+16   
   2.022  3.608307708e-44  5.070321328e+16  
   2.023  3.622995184e-44  5.066092536e+16  
   2.024  3.637696512e-44  5.066092536e+16  
   2.025  3.652411745e-44  5.066092536e+16  
   2.026  3.66714093e-44   5.061863745e+16  
   2.027  3.681884118e-44  5.057634953e+16  
   2.028  3.696641356e-44  5.057634953e+16  
   2.029  3.711412691e-44  5.053406161e+16  
   2.03   3.726198172e-44  5.053406161e+16  
   2.031  3.740997845e-44  5.053406161e+16  
   2.032  3.755811754e-44  5.049177369e+16  
   2.033  3.770639946e-44  5.049177369e+16  
   2.034  3.785482465e-44  5.044948578e+16  
   2.035  3.800339355e-44  5.044948578e+16  
   2.036  3.81521066e-44   5.040719786e+16  
   2.037  3.830096422e-44  5.040719786e+16  
   2.038  3.844996684e-44  5.036490994e+16  
   2.039  3.859911487e-44  5.036490994e+16  
   2.04   3.874840874e-44  5.032262202e+16  
   2.041  3.889784884e-44  5.032262202e+16  
   2.042  3.904743559e-44  5.028033411e+16  
   2.043  3.919716937e-44  5.028033411e+16  
   2.044  3.934705059e-44  5.023804619e+16  
   2.045  3.949707963e-44  5.023804619e+16  
   2.046  3.964725687e-44  5.019575827e+16  
   2.047  3.979758269e-44  5.019575827e+16  
   2.048  3.994805747e-44  5.015347035e+16  
   2.049  4.009868158e-44  5.015347035e+16  
   2.05   4.024945538e-44  5.011118244e+16  
   2.051  4.040037922e-44  5.011118244e+16  
   2.052  4.055145348e-44  5.011118244e+16  
   2.053  4.070267849e-44  5.006889452e+16  
   2.054  4.085405462e-44  5.006889452e+16  
   2.055  4.100558219e-44  5.00266066e+16   
   2.056  4.115726155e-44  5.00266066e+16   
   2.057  4.130909304e-44  4.998431868e+16  
   2.058  4.146107698e-44  4.998431868e+16  
   2.059  4.161321371e-44  4.994203076e+16  
   2.06   4.176550355e-44  4.994203076e+16  
   2.061  4.191794682e-44  4.989974285e+16  
   2.062  4.207054383e-44  4.989974285e+16  
   2.063  4.22232949e-44   4.985745493e+16  
   2.064  4.237620033e-44  4.985745493e+16  
   2.065  4.252926043e-44  4.981516701e+16  
   2.066  4.268247551e-44  4.977287909e+16  
   2.067  4.283584586e-44  4.977287909e+16  
   2.068  4.298937178e-44  4.973059118e+16  
   2.069  4.314305355e-44  4.973059118e+16  
   2.07   4.329689147e-44  4.968830326e+16  
   2.071  4.345088582e-44  4.968830326e+16  
   2.072  4.360503689e-44  4.964601534e+16  
   2.073  4.375934495e-44  4.964601534e+16  
   2.074  4.391381027e-44  4.960372742e+16  
   2.075  4.406843313e-44  4.956143951e+16  
   2.076  4.422321381e-44  4.956143951e+16  
   2.077  4.437815256e-44  4.951915159e+16  
   2.078  4.453324965e-44  4.947686367e+16  
   2.079  4.468850534e-44  4.943457575e+16  
   2.08   4.484391988e-44  4.943457575e+16  
   2.081  4.499949354e-44  4.875796907e+16  
   2.082  4.515522657e-44  4.871568115e+16  
   2.083  4.531111921e-44  4.871568115e+16  
   2.084  4.546717171e-44  4.841966573e+16  
   2.085  4.562338431e-44  4.841966573e+16  
   2.086  4.577975726e-44  4.837737781e+16  
   2.087  4.593629079e-44  4.837737781e+16  
   2.088  4.609298515e-44  4.837737781e+16  
   2.089  4.624984056e-44  4.833508989e+16  
   2.09   4.640685726e-44  4.829280198e+16  
   2.091  4.656403547e-44  4.829280198e+16  
   2.092  4.672137542e-44  4.825051406e+16  
   2.093  4.687887734e-44  4.825051406e+16  
   2.094  4.703654144e-44  4.820822614e+16  
   2.095  4.719436795e-44  4.820822614e+16  
   2.096  4.735235709e-44  4.816593822e+16  
   2.097  4.751050905e-44  4.816593822e+16  
   2.098  4.766882407e-44  4.81236503e+16   
   2.099  4.782730235e-44  4.81236503e+16   
   2.1    4.79859441e-44   4.803907447e+16  
   2.101  4.814474952e-44  4.803907447e+16  
   2.102  4.830371882e-44  4.799678655e+16  
   2.103  4.84628522e-44   4.799678655e+16  
   2.104  4.862214986e-44  4.795449863e+16  
   2.105  4.878161199e-44  4.795449863e+16  
   2.106  4.89412388e-44   4.791221072e+16  
   2.107  4.910103047e-44  4.774305905e+16  
   2.108  4.92609872e-44   4.774305905e+16  
   2.109  4.942110918e-44  4.770077113e+16  
   2.11   4.958139659e-44  4.770077113e+16  
   2.111  4.974184963e-44  4.765848321e+16  
   2.112  4.990246847e-44  4.765848321e+16  
   2.113  5.006325329e-44  4.761619529e+16  
   2.114  5.022420429e-44  4.761619529e+16  
   2.115  5.038532163e-44  4.761619529e+16  
   2.116  5.054660549e-44  4.757390738e+16  
   2.117  5.070805605e-44  4.757390738e+16  
   2.118  5.086967348e-44  4.753161946e+16  
   2.119  5.103145796e-44  4.753161946e+16  
   2.12   5.119340965e-44  4.748933154e+16  
   2.121  5.135552872e-44  4.748933154e+16  
   2.122  5.151781534e-44  4.744704362e+16  
   2.123  5.168026968e-44  4.74047557e+16   
   2.124  5.184289189e-44  4.74047557e+16   
   2.125  5.200568214e-44  4.736246779e+16  
   2.126  5.216864059e-44  4.736246779e+16  
   2.127  5.233176739e-44  4.732017987e+16  
   2.128  5.249506272e-44  4.732017987e+16  
   2.129  5.265852671e-44  4.727789195e+16  
   2.13   5.282215953e-44  4.727789195e+16  
   2.131  5.298596133e-44  4.723560403e+16  
   2.132  5.314993226e-44  4.719331612e+16  
   2.133  5.331407246e-44  4.710874028e+16  
   2.134  5.34783821e-44   4.710874028e+16  
   2.135  5.364286131e-44  4.706645236e+16  
   2.136  5.380751024e-44  4.702416445e+16  
   2.137  5.397232904e-44  4.702416445e+16  
