# Created by O. Kyzylova
# U235 cross-section and spectrum from Huber model
# 0-2, 8-10 MeV - parametrization based on parametrization formula from Huber article
# 2-8 MeV - spline interpolation based on table data points from Huber article
# AntiNuEnergy	IBDCrossSection	AntiNuFlux


0.005	0	2.35962E19
0.015	0	2.255E19
0.025	0	2.15591E19
0.035	0	2.06202E19
0.045	0	1.97303E19
0.055	0	1.88865E19
0.065	0	1.8086E19
0.075	0	1.73264E19
0.085	0	1.66053E19
0.095	0	1.59205E19
0.105	0	1.52698E19
0.115	0	1.46515E19
0.125	0	1.40635E19
0.135	0	1.35044E19
0.145	0	1.29723E19
0.155	0	1.24659E19
0.165	0	1.19838E19
0.175	0	1.15245E19
0.185	0	1.10869E19
0.195	0	1.06698E19
0.205	0	1.02721E19
0.215	0	9.89277E18
0.225	0	9.53083E18
0.235	0	9.18536E18
0.245	0	8.85551E18
0.255	0	8.54046E18
0.265	0	8.23946E18
0.275	0	7.95177E18
0.285	0	7.67672E18
0.295	0	7.41368E18
0.305	0	7.16202E18
0.315	0	6.9212E18
0.325	0	6.69066E18
0.335	0	6.46989E18
0.345	0	6.25843E18
0.355	0	6.0558E18
0.365	0	5.8616E18
0.375	0	5.6754E18
0.385	0	5.49682E18
0.395	0	5.3255E18
0.405	0	5.16111E18
0.415	0	5.0033E18
0.425	0	4.85178E18
0.435	0	4.70624E18
0.445	0	4.56643E18
0.455	0	4.43206E18
0.465	0	4.3029E18
0.475	0	4.1787E18
0.485	0	4.05925E18
0.495	0	3.94432E18
0.505	0	3.83372E18
0.515	0	3.72727E18
0.525	0	3.62476E18
0.535	0	3.52603E18
0.545	0	3.43093E18
0.555	0	3.33928E18
0.565	0	3.25094E18
0.575	0	3.16578E18
0.585	0	3.08365E18
0.595	0	3.00442E18
0.605	0	2.92799E18
0.615	0	2.85422E18
0.625	0	2.783E18
0.635	0	2.71425E18
0.645	0	2.64784E18
0.655	0	2.58369E18
0.665	0	2.52171E18
0.675	0	2.4618E18
0.685	0	2.40389E18
0.695	0	2.34789E18
0.705	0	2.29373E18
0.715	0	2.24134E18
0.725	0	2.19065E18
0.735	0	2.14159E18
0.745	0	2.09409E18
0.755	0	2.04811E18
0.765	0	2.00357E18
0.775	0	1.96044E18
0.785	0	1.91864E18
0.795	0	1.87814E18
0.805	0	1.83888E18
0.815	0	1.80082E18
0.825	0	1.76391E18
0.835	0	1.72812E18
0.845	0	1.69339E18
0.855	0	1.6597E18
0.865	0	1.627E18
0.875	0	1.59526E18
