#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2      3.288577204e-44  1.268354134e+19  
   2.25   7.371898437e-44  1.09273587e+19   
   2.5    1.256493997e-43  8.927261791e+18  
   2.75   1.892581608e-43  7.512559103e+18  
   3      2.64677382e-43   6.351527241e+18  
   3.25   3.519528596e-43  5.395383356e+18  
   3.5    4.511042635e-43  4.4294829e+18    
   3.75   5.621412708e-43  3.551391576e+18  
   4      6.850691202e-43  2.868431657e+18  
   4.25   8.198908575e-43  2.244011161e+18  
   4.5    9.666083556e-43  1.746426077e+18  
   4.75   1.125222819e-42  1.346406696e+18  
   5      1.295735052e-42  1.073222729e+18  
   5.25   1.478145608e-42  8.429676708e+17  
   5.5    1.67245488e-42   6.30274439e+17   
   5.75   1.878663149e-42  4.975850834e+17  
   6      2.096770626e-42  3.795305832e+17  
   6.25   2.326777467e-42  2.800135666e+17  
   6.5    2.568683794e-42  2.117175747e+17  
   6.75   2.822489698e-42  1.570807812e+17  
   7      3.088195252e-42  1.11224901e+17   
   7.25   3.365800515e-42  6.995460879e+16  
   7.5    3.655305533e-42  4.527048602e+16  
   7.75   3.956710343e-42  2.897701368e+16  
   8      4.270014975e-42  1.580564383e+16  
