#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2      3.288577204e-44  1.30078119e+19   
   2.25   7.371898437e-44  1.102188642e+19  
   2.5    1.256493997e-43  9.204764607e+18  
   2.75   1.892581608e-43  7.695461241e+18  
   3      2.64677382e-43   6.464187442e+18  
   3.25   3.519528596e-43  5.431506192e+18  
   3.5    4.511042635e-43  4.458402706e+18  
   3.75   5.621412708e-43  3.604454749e+18  
   4      6.850691202e-43  2.859732693e+18  
   4.25   8.198908575e-43  2.254025422e+18  
   4.5    9.666083556e-43  1.757544051e+18  
   4.75   1.125222819e-42  1.360358955e+18  
   5      1.295735052e-42  1.082329387e+18  
   5.25   1.478145608e-42  8.479901806e+17  
   5.5    1.67245488e-42   6.513835579e+17  
   5.75   1.878663149e-42  4.954884076e+17  
   6      2.096770626e-42  3.654102886e+17  
   6.25   2.326777467e-42  2.72071791e+17   
   6.5    2.568683794e-42  2.055432873e+17  
   6.75   2.822489698e-42  1.549021876e+17  
   7      3.088195252e-42  1.102188642e+17  
   7.25   3.365800515e-42  6.861372539e+16  
   7.5    3.655305533e-42  4.269739785e+16  
   7.75   3.956710343e-42  2.760436419e+16  
   8      4.270014975e-42  1.479514484e+16  
